title,release_year,score,number_of_votes,duration,number_of_seasons,main_genre
Tabula Rasa,2017,8.0,10161,52,1,drama
Dead to Me,2019,8.0,73110,31,2,drama
The Mechanism,2018,8.0,36077,47,2,drama
Squid Game,2021,8.0,416738,54,2,action
Toradora!,2008,8.0,14307,30,2,animation
Comedians in Cars Getting Coffee,2012,8.0,12363,20,11,comedy
Marco Polo,2014,8.0,71229,55,2,action
Travelers,2016,8.0,54566,45,3,scifi
The Blacklist,2013,8.0,238138,43,9,drama
Unorthodox,2020,8.0,74118,54,1,drama
Inside Bill's Brain: Decoding Bill Gates,2019,7.9,10776,50,1,documentary
On My Block,2018,7.9,15642,29,4,comedy
Medici: Masters of Florence,2016,7.9,18575,54,3,war
The Seven Deadly Sins,2014,7.9,30341,24,5,action
Queen of the South,2016,7.9,28537,42,5,drama
KILL la KILL,2013,7.9,13372,25,1,action
Bloodline,2015,7.9,50028,57,3,drama
Into the Badlands,2015,7.9,45628,43,3,action
Merlin,2008,7.9,80138,44,5,action
InuYasha,2000,7.9,15823,25,9,action
Altered Carbon,2018,7.9,162018,52,2,scifi
The OA,2016,7.9,100911,55,2,scifi
Resurrection: Ertugrul,2014,7.9,35515,57,5,war
The Borgias,2011,7.9,50556,51,3,drama
Lilyhammer,2012,7.9,29196,45,3,crime
Boys Over Flowers,2009,7.9,11579,64,1,comedy
I Think You Should Leave with Tim Robinson,2019,7.9,11411,16,3,comedy
Suburra: Blood on Rome,2017,7.9,14346,48,3,crime
The Sinner,2017,7.9,117055,45,4,crime
The Spy,2019,7.9,40535,53,1,drama
Santa Clarita Diet,2017,7.9,64467,29,3,comedy
How to Sell Drugs Online (Fast),2019,7.9,30734,32,3,drama
Rise of Empires: Ottoman,2020,7.9,22045,45,2,documentary
Big Mouth,2017,7.9,74660,27,6,animation
Versailles,2015,7.9,16273,54,3,drama
She-Ra and the Princesses of Power,2018,7.8,14935,24,5,scifi
A Series of Unfortunate Events,2017,7.8,59239,47,3,action
Gotham,2014,7.8,226081,43,5,scifi
Workin' Moms,2017,7.8,14892,22,6,comedy
Russian Doll,2019,7.8,88945,28,2,drama
Sweet Tooth,2021,7.8,49182,45,2,scifi
Imposters,2017,7.8,13238,43,2,drama
iZombie,2015,7.8,66488,42,5,scifi
Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,27439,59,1,crime
Never Have I Ever,2020,7.8,45346,28,4,drama
My Name,2021,7.8,18446,50,1,thriller
Happy Endings,2011,7.8,37778,21,3,comedy
Crazy Ex-Girlfriend,2015,7.8,19738,42,4,comedy
El Chapo,2017,7.8,17992,44,3,drama
NCIS,2003,7.8,141049,44,19,action
Jane the Virgin,2014,7.8,46286,42,5,drama
Undercover,2019,7.8,16773,49,3,drama
DOTA: Dragon's Blood,2021,7.8,17429,26,2,scifi
The Innocent,2021,7.8,29019,58,1,crime
The Staircase,2004,7.8,21531,49,2,crime
Giri/Haji,2019,7.8,13570,58,1,thriller
Angel Beats!,2010,7.7,13848,26,1,scifi
Love,2016,7.7,41362,32,3,drama
In the Dark,2019,7.7,10927,41,4,comedy
Midnight Mass,2021,7.7,102321,64,1,action
The Vampire Diaries,2009,7.7,310776,42,8,scifi
Alias Grace,2017,7.7,31577,44,1,drama
You,2018,7.7,225949,47,3,thriller
Norsemen,2016,7.7,18040,30,3,comedy
Good Girls,2018,7.7,49867,42,4,comedy
Seven Seconds,2018,7.7,15323,62,1,crime
The Chestnut Man,2021,7.7,41253,55,1,crime
Crashing,2016,7.7,18546,30,1,comedy
Maniac,2018,7.7,74877,39,1,drama
New Girl,2011,7.7,216209,21,7,comedy
Miraculous: Tales of Ladybug & Cat Noir,2015,7.7,10102,22,4,romance
Home for Christmas,2019,7.7,13670,29,2,comedy
Inside Job,2021,7.6,15137,28,1,comedy
The Serpent,2021,7.6,41782,57,1,drama
Alice in Borderland,2020,7.6,47651,47,2,action
Spinning Out,2020,7.6,13692,50,1,drama
Messiah,2020,7.6,42018,45,1,drama
Teenage Bounty Hunters,2020,7.6,10821,49,1,action
Shadow and Bone,2021,7.6,77782,52,1,scifi
The Devil Next Door,2019,7.6,13084,46,1,documentary
My Little Pony: Friendship Is Magic,2010,7.6,20708,22,9,scifi
The Magicians,2015,7.6,49557,44,5,drama
Bordertown,2016,7.6,10371,59,3,drama
Unbreakable Kimmy Schmidt,2015,7.6,70242,30,4,comedy
Chicago Med,2015,7.6,24142,41,8,drama
The 100,2014,7.6,242221,42,7,drama
The Flash,2014,7.6,336888,42,8,scifi
Cable Girls,2017,7.6,13855,50,5,drama
Criminal: UK,2019,7.6,17992,44,2,drama
Devilman Crybaby,2018,7.6,18575,25,1,scifi
Madam Secretary,2014,7.6,22563,43,6,war
Sword Art Online,2012,7.6,43727,23,4,scifi
Gilmore Girls: A Year in the Life,2016,7.6,36359,92,1,comedy
Dead Set,2008,7.6,19684,141,1,scifi
Grey's Anatomy,2005,7.6,293618,49,18,drama
Goosebumps,1995,7.6,13361,22,4,scifi
Love 101,2020,7.5,13797,46,2,comedy
Shooter,2016,7.5,35547,41,3,war
Reign,2013,7.5,47751,42,4,drama
Blue Exorcist,2011,7.5,12741,24,2,scifi
Outer Banks,2020,7.5,43404,49,2,action
Arrow,2012,7.5,425716,42,8,action
Halston,2021,7.5,14040,47,1,drama
The Night Shift,2014,7.5,12069,42,4,drama
The Heirs,2013,7.5,10329,59,1,drama
The Politician,2019,7.5,21887,43,2,comedy
Ragnarok,2020,7.5,36185,47,2,action
Everything Sucks!,2018,7.5,18023,24,1,drama
Frequency,2016,7.5,13625,18,3,scifi
Dark Matter,2015,7.5,41867,43,3,scifi
Night Stalker: The Hunt for a Serial Killer,2021,7.5,23939,47,1,crime
Dash & Lily,2020,7.5,16978,25,1,comedy
True Story,2021,7.5,16927,39,1,drama
Hollywood,2020,7.5,35067,50,1,drama
Designated Survivor,2016,7.5,88019,44,3,war
Quicksand,2019,7.5,21077,46,1,drama
Feel Good,2020,7.5,10317,25,2,drama
Dogs of Berlin,2018,7.5,12453,60,1,drama
Evil Genius,2018,7.5,27516,48,1,crime
13 Reasons Why,2017,7.5,282373,58,4,drama
Lupin,2021,7.5,100575,46,3,crime
All of Us Are Dead,2022,7.5,41393,61,1,action
I Am Not Okay with This,2020,7.5,56459,21,1,comedy
