title,release_year,score,number_of_votes,duration,main_genre
Road to Perdition,2002,7.7,263212,117,thriller
The Trial of the Chicago 7,2020,7.7,170728,130,drama
When Harry Met Sally...,1989,7.7,212913,96,romance
Rock On!!,2008,7.7,21963,144,drama
In the Family,2017,7.7,23297,124,comedy
Pyaar Ka Punchnama,2011,7.7,21204,149,romance
Midnight in Paris,2011,7.7,413541,94,fantasy
Donnie Brasco,1997,7.7,300073,127,thriller
The Blind Side,2009,7.6,323939,129,drama
Sherlock Holmes,2009,7.6,620154,129,crime
Stardust,2007,7.6,269043,122,fantasy
Kuch Kuch Hota Hai,1998,7.6,51640,185,drama
Parmanu: The Story of Pokhran,2018,7.6,23771,129,drama
Doctor,2021,7.6,14590,150,thriller
"What Happened, Miss Simone?",2015,7.6,13703,101,musical
Eddie Murphy Raw,1987,7.6,19646,93,comedy
Delhi Belly,2011,7.6,29578,102,comedy
The Boy Who Harnessed the Wind,2019,7.6,36805,113,drama
Kabhi Haan Kabhi Naa,1994,7.6,18224,158,comedy
The Two Popes,2019,7.6,120871,125,drama
The Social Dilemma,2020,7.6,79674,94,drama
Bad Genius,2017,7.6,20430,130,thriller
The Mitchells vs. the Machines,2021,7.6,100787,113,animation
Gifted Hands: The Ben Carson Story,2009,7.6,10210,86,drama
Tell Me Who I Am,2019,7.6,14215,85,thriller
RBG,2018,7.6,14037,98,documentary
Highway,2014,7.6,28370,133,drama
Athlete A,2020,7.6,10544,104,documentary
Lupin the Third: The Castle of Cagliostro,1979,7.6,30277,100,comedy
Love Actually,2003,7.6,474176,139,drama
Hell or High Water,2016,7.6,224900,102,western
Wake Up Sid,2009,7.6,30818,138,comedy
Ludo,2020,7.6,37528,150,crime
Stree,2018,7.6,32814,128,horror
Aamir,2008,7.6,11241,99,thriller
I Am Sam,2001,7.6,149082,132,drama
True Grit,2010,7.6,333378,110,western
The Distinguished Citizen,2016,7.5,11495,118,comedy
Jodhaa Akbar,2008,7.5,32188,213,romance
The Conjuring,2013,7.5,491048,107,thriller
Dhamaka,2021,7.5,39620,104,thriller
Bareilly Ki Barfi,2017,7.5,23011,123,romance
Les Misérables,2012,7.5,325132,157,drama
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,12278,76,fantasy
Dil Se..,1998,7.5,28409,163,drama
Omar,2013,7.5,14230,96,thriller
